system,planet,block,msini_mjup,m95_factor,mass_95_mjup
HD 113538,HD 113538 b,resonant,0.36,1.9596545041740512,0.7054756215026584
HD 113538,HD 113538 c,resonant,0.93,1.9596545041740512,1.8224786888818676
HD 73526,HD 73526 c,resonant,2.25,2.0032971354417017,4.507418554743829
HD 73526,HD 73526 b,resonant,2.25,2.0032971354417017,4.507418554743829
TYC 1422-614-1,TYC 1422-614-1 b,main,2.5,2.013838310483138,5.034595776207845
TYC 1422-614-1,TYC 1422-614-1 c,main,10.0,2.013838310483138,20.13838310483138
gam Lib,gam Lib b,resonant,1.126,2.13478540535212,2.403768366426487
gam Lib,gam Lib c,resonant,5.231,2.13478540535212,11.167062455396938
HD 155358,HD 155358 b,resonant,0.85,2.156635402437404,1.8331400920717933
HD 155358,HD 155358 c,resonant,0.82,2.156635402437404,1.768441029998671
Barnard's star,Barnard d,main,0.00082749,2.1792350319735614,0.0018032951966078
Barnard's star,Barnard c,main,0.00105403,2.1792350319735614,0.002296979100751
Barnard's star,Barnard e,main,0.00060725,2.1792350319735614,0.0013233404731659
Barnard's star,Barnard b,main,0.00094076,2.1792350319735614,0.0020501371486794
HD 45364,HD 45364 c,resonant,0.549,2.278041744459796,1.250644917708428
HD 45364,HD 45364 b,resonant,0.1893,2.278041744459796,0.4312333022262394
HD 95089,HD 95089 c,main,3.45,2.3051083518883324,7.952623814014747
HD 95089,HD 95089 b,main,1.26,2.3051083518883324,2.904436523379299
HIP 111909,HIP 111909 c,main,0.81,2.333242630289087,1.8899265305341608
HIP 111909,HIP 111909 b,main,1.21,2.333242630289087,2.823223582649795
47 UMa,47 UMa d,main,1.64,2.3506648179478695,3.855090301434506
47 UMa,47 UMa b,main,2.53,2.3506648179478695,5.94718198940811
47 UMa,47 UMa c,main,0.54,2.3506648179478695,1.2693590016918497
HD 184010,HD 184010 b,main,0.31,2.418326647207642,0.749681260634369
HD 184010,HD 184010 c,main,0.3,2.418326647207642,0.7254979941622927
HD 184010,HD 184010 d,main,0.45,2.418326647207642,1.088246991243439
HD 147873,HD 147873 c,main,2.3,2.424792908038925,5.577023688489526
HD 147873,HD 147873 b,main,5.14,2.424792908038925,12.46343554732007
HD 37124,HD 37124 b,resonant,0.675,2.4716630052173176,1.6683725285216895
HD 37124,HD 37124 d,resonant,0.696,2.4716630052173176,1.720277451631253
HD 37124,HD 37124 c,resonant,0.652,2.4716630052173176,1.611524279401691
HIP 65407,HIP 65407 b,main,0.428,2.4855961488976615,1.063835151728199
HIP 65407,HIP 65407 c,main,0.784,2.4855961488976615,1.9487073807357669
HD 28471,HD 28471 b,main,0.01170443,2.5827121581465673,0.0302291736651754
HD 28471,HD 28471 c,main,0.01799713,2.5827121581465673,0.0464814064627443
HD 28471,HD 28471 d,main,0.01544859,2.5827121581465673,0.0398992612192214
HD 96700,HD 96700 b,main,0.02800253,2.6068928871358583,0.0729995962788084
HD 96700,HD 96700 c,main,0.01101223,2.6068928871358583,0.0287077040585041
HD 96700,HD 96700 d,main,0.03995867,2.6068928871358583,0.104167972602409
GJ 229,GJ 229 b,main,0.047,2.6750616995467165,0.1257278998786956
GJ 229,GJ 229 A c,main,0.027,2.6750616995467165,0.0722266658877613
GJ 887,GJ 887 d,main,0.01919275,2.6750616995467165,0.0513417904339752
GJ 887,GJ 887 c,main,0.02045129,2.6750616995467165,0.0547084625853227
GJ 887,GJ 887 b,main,0.01227077,2.6750616995467165,0.0328250668509468
GJ 887,GJ 887 e,main,0.00459367,2.6750616995467165,0.0122883506773567
HD 94890,HD 94890 c,main,8.91,2.711334186772447,24.157987604142505
HD 141399,HD 141399 b,main,0.451,2.711334186772447,1.2228117182343736
HD 141399,HD 141399 c,main,1.33,2.711334186772447,3.606074468407355
HD 141399,HD 141399 d,main,1.18,2.711334186772447,3.1993743403914876
HD 141399,HD 141399 e,main,0.66,2.711334186772447,1.7894805632698152
HD 94890,HD 94890 b,main,2.13,2.711334186772447,5.775141817825312
YZ Cet,YZ Cet d,main,0.00342952,2.720647808954717,0.0093305160737663
YZ Cet,YZ Cet c,main,0.00358684,2.720647808954717,0.0097585283870711
YZ Cet,YZ Cet b,main,0.00220245,2.720647808954717,0.0059920907668323
HD 33142,HD 33142 d,main,0.2,2.7300631610489905,0.5460126322097981
HD 33142,HD 33142 b,main,1.26,2.7300631610489905,3.439879582921728
HD 33142,HD 33142 c,main,0.89,2.7300631610489905,2.4297562133336017
HD 50499,HD 50499 c,main,2.93,2.768779445815037,8.11252377623806
HD 50499,HD 50499 b,main,1.636,2.768779445815037,4.529723173353401
HD 48948,HD 48948 d,main,0.03331987,2.798980013613096,0.0932616501861866
HD 48948,HD 48948 c,main,0.02287398,2.798980013613096,0.0640238128517856
HD 48948,HD 48948 b,main,0.0153542,2.798980013613096,0.0429760989250182
HD 160691,HD 160691 d,resonant,0.032,2.862628000128954,0.0916040960041265
HD 160691,HD 160691 e,resonant,0.48,2.862628000128954,1.374061440061898
HD 160691,HD 160691 b,resonant,1.677,2.862628000128954,4.800627156216256
HD 160691,HD 160691 c,resonant,2.423,2.862628000128954,6.936147644312456
K2-18,K2-18 c,main,0.02362898,2.8736848324283986,0.0679022414317539
HD 107148,HD 107148 c,main,0.0626,2.931051908802748,0.183483849491052
HD 107148,HD 107148 b,main,0.21,2.931051908802748,0.615520900848577
HD 164922,HD 164922 e,main,0.0331,2.9796234971089235,0.0986255377543053
L 98-59,L 98-59 f,main,0.00880979,2.9796234971089235,0.0262498572885952
L 98-59,L 98-59 e,main,0.00887271,2.9796234971089235,0.0264373351990333
HD 164922,HD 164922 d,main,0.01258534,2.9796234971089235,0.0374995747831048
HD 164922,HD 164922 c,main,0.04090237,2.9796234971089235,0.1218736627394431
HD 164922,HD 164922 b,main,0.36497499,2.9796234971089235,1.0874880560610944
61 Vir,61 Vir b,main,0.016,2.9921651744703697,0.0478746427915259
61 Vir,61 Vir c,main,0.057,2.9921651744703697,0.170553414944811
61 Vir,61 Vir d,main,0.072,2.9921651744703697,0.2154358925618666
HD 125612,HD 125612 c,main,0.049,3.0048733490978945,0.1472387941057968
HD 27894,HD 27894 b,main,0.619,3.0048733490978945,1.8600166030915968
HD 27894,HD 27894 c,main,0.162,3.0048733490978945,0.4867894825538589
HD 125612,HD 125612 b,main,2.974,3.0048733490978945,8.936493340217138
75 Cet,75 Cet c,main,0.912,3.0048733490978945,2.7404444943772797
75 Cet,75 Cet b,main,2.479,3.0048733490978945,7.449081032413681
ups And,ups And b,resonant,0.6876,3.017751702496436,2.0750060706365496
ups And,ups And d,resonant,4.132,3.017751702496436,12.469350034715273
ups And,ups And c,resonant,1.981,3.017751702496436,5.97816612264544
HD 60532,HD 60532 b,main,1.06,3.030804031055452,3.212652272918779
HD 60532,HD 60532 c,main,2.51,3.030804031055452,7.607318117949183
HD 20003,HD 20003 c,main,0.0454,3.0440342506980764,0.1381991549816927
HD 20003,HD 20003 b,main,0.0367,3.0440342506980764,0.1117160570006194
HD 189567,HD 189567 c,main,0.02202446,3.057446401762336,0.0673386059777585
HD 108874,HD 108874 b,main,1.42,3.057446401762336,4.3415738905025165
HD 191939,HD 191939 e,main,0.35302068,3.057446401762336,1.079341807813693
HD 191939,HD 191939 g,main,0.04247575,3.057446401762336,0.1298673289996565
HD 191939,HD 191939 f,main,2.88,3.057446401762336,8.805445637075527
HD 189567,HD 189567 b,main,0.02674399,3.057446401762336,0.0817683159942678
HD 108874,HD 108874 c,main,0.99,3.057446401762336,3.0268719377447124
GJ 849,GJ 849 b,main,0.893,3.098816822595088,2.7672434225774136
HD 114386,HD 114386 c,resonant,0.37,3.098816822595088,1.1465622243601823
GJ 849,GJ 849 c,main,0.99,3.098816822595088,3.067828654369137
HD 219134,HD 219134 g,main,0.034,3.1129997760523618,0.1058419923857803
HD 219134,HD 219134 h,main,0.34,3.1129997760523618,1.0584199238578031
Wolf 1061,Wolf 1061 d,main,0.02422679,3.127386917749207,0.0757665461050573
Wolf 1061,Wolf 1061 b,main,0.0060095,3.127386917749207,0.0187940316822138
Wolf 1061,Wolf 1061 c,main,0.01072901,3.127386917749207,0.0335537655144004
HD 20781,HD 20781 e,main,0.0442,3.141983151876895,0.1388756553129587
HD 20781,HD 20781 d,main,0.0334,3.141983151876895,0.1049422372726882
HD 20781,HD 20781 c,main,0.0168,3.141983151876895,0.0527853169515318
HD 20781,HD 20781 b,main,0.0061,3.141983151876895,0.019166097226449
HD 158259,HD 158259 f,main,0.0193185,3.171823353363727,0.0612748694519571
HD 158259,HD 158259 e,main,0.01912972,3.171823353363727,0.0606760926393091
HD 142,HD 142 A d,main,0.26,3.171823353363727,0.8246740718745691
HD 158259,HD 158259 d,main,0.01702168,3.171823353363727,0.0539897621374842
rho CrB,rho CrB b,main,1.09491472,3.171823353363727,3.4728760788377064
rho CrB,rho CrB e,main,0.01167297,3.171823353363727,0.0370245988491141
rho CrB,rho CrB c,main,0.08634219,3.171823353363727,0.273862174622568
Kepler-68,Kepler-68 e,main,0.272,3.171823353363727,0.8627359521149338
HD 158259,HD 158259 c,main,0.01761948,3.171823353363727,0.0558858781381251
Kepler-129,Kepler-129 d,main,8.3,3.187077990652579,26.452747322416407
Kepler-48,Kepler-48 f,main,0.93944088,3.2025630761017436,3.0086186744685293
HD 177830,HD 177830 b,main,1.69,3.2025630761017436,5.412331598611947
TOI-375,TOI-375 d,main,1.402,3.2025630761017436,4.489993432694645
TOI-375,TOI-375 c,main,2.106,3.2025630761017436,6.744597838270272
HD 159868,HD 159868 b,main,2.218,3.2025630761017436,7.103284902793667
HD 159868,HD 159868 c,main,0.768,3.2025630761017436,2.4595684424461393
HD 1605,HD 1605 c,main,3.62,3.2025630761017436,11.593278335488312
HD 1605,HD 1605 b,main,0.934,3.2025630761017436,2.991193913079029
TOI-6695,TOI-6695 c,main,1.45,3.2025630761017436,4.6437164603475285
Kepler-56,Kepler-56 d,main,5.61,3.2025630761017436,17.96637885693078
HD 104067,HD 104067 c,main,0.04153184,3.2025630761017436,0.1330083372665654
HD 21693,HD 21693 b,main,0.0259,3.2025630761017436,0.0829463836710351
HD 21693,HD 21693 c,main,0.0547,3.2025630761017436,0.1751802002627653
TOI-5789,TOI-5789 b,main,0.00667027,3.2025630761017436,0.0213619604096291
TOI-5789,TOI-5789 d,main,0.01349785,3.2025630761017436,0.0432277160167599
HD 39194,HD 39194 d,main,0.01623518,3.2025630761017436,0.0519941880018655
HD 39194,HD 39194 c,main,0.02356618,3.2025630761017436,0.0754721779127673
HD 39194,HD 39194 b,main,0.01453615,3.2025630761017436,0.0465529372586763
DMPP-6,DMPP-6 c,main,0.04238136,3.2025630761017436,0.1357289786509753
DMPP-6,DMPP-6 b,main,0.01824884,3.2025630761017436,0.0584430611656885
TOI-5789,TOI-5789 e,main,0.03652915,3.2025630761017436,0.116986906991382
HD 104067,HD 104067 b,main,0.19538845,3.2025630761017436,0.6257438354667517
HD 177830,HD 177830 c,main,0.15,3.2025630761017436,0.4803844614152615
TOI-1062,TOI-1062 c,main,0.03077132,3.2182844231134156,0.0990308598346383
