system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
47 UMa,47 UMa b,2.53,True,0.4,6.392453221499662,16.172906650394143,9.0,295140.4513487441
47 UMa,47 UMa c,0.54,True,0.4,6.392453221499662,3.451924739609818,9.0,295140.4513487441
47 UMa,47 UMa d,1.64,True,0.4,6.392453221499662,10.483623283259444,9.0,295140.4513487441
TYC 1422-614-1,TYC 1422-614-1 b,2.5,True,1.0,2.6694671625540143,6.6736679063850355,22.0,54318.98494425638
TYC 1422-614-1,TYC 1422-614-1 c,10.0,True,1.0,2.6694671625540143,26.694671625540142,22.0,54318.98494425638
Barnard's star,Barnard d,0.00082749,True,0.6,1.220774588761456,0.0010101787644542172,55.0,640.7121341246974
Barnard's star,Barnard b,0.00094076,True,0.6,1.220774588761456,0.0011484559021232275,55.0,640.7121341246974
Barnard's star,Barnard c,0.00105403,True,0.6,1.220774588761456,0.0012867330397922376,55.0,640.7121341246974
Barnard's star,Barnard e,0.00060725,True,0.6,1.220774588761456,0.0007413153690253942,55.0,640.7121341246974
HD 95089,HD 95089 b,1.26,True,1.0,2.0000000000000004,2.5200000000000005,29.999999999999993,127145.84462070843
HD 95089,HD 95089 c,3.45,True,1.0,2.0000000000000004,6.900000000000002,29.999999999999993,127145.84462070843
HIP 57274,HIP 57274 b,10.57,False,0.6,1.220774588761456,,55.0,2227.2971684418444
HIP 57274,HIP 57274 c,0.40902369,True,0.6,1.220774588761456,0.4993257269534433,55.0,2227.2971684418444
HIP 57274,HIP 57274 d,0.5267,True,0.6,1.220774588761456,0.6429819759006589,55.0,2227.2971684418444
HIP 65407,HIP 65407 b,0.428,True,1.0,4.809734344744131,2.058566299550488,12.000000000000002,7700.20882499455
HIP 65407,HIP 65407 c,0.784,True,1.0,4.809734344744131,3.7708317262793987,12.000000000000002,7700.20882499455
HD 147873,HD 147873 b,5.14,True,1.0,4.809734344744131,24.722034531984832,12.000000000000002,31922.256416277618
HD 147873,HD 147873 c,2.3,True,1.0,4.809734344744131,11.0623889929115,12.000000000000002,31922.256416277618
HD 94890,HD 94890 b,2.13,True,1.0,8.205509048125078,17.477734272506417,7.0,225766.0113057247
HD 94890,HD 94890 c,8.91,True,1.0,8.205509048125078,73.11108561879445,7.0,225766.0113057247
HIP 111909,HIP 111909 b,1.21,True,1.0,4.809734344744131,5.819778557140398,12.000000000000002,133355.30211223496
HIP 111909,HIP 111909 c,0.81,True,1.0,4.809734344744131,3.895884819242746,12.000000000000002,133355.30211223496
HD 141399,HD 141399 b,0.451,True,0.8,11.473713245669856,5.174644673797105,5.0,25856.27475099272
HD 141399,HD 141399 c,1.33,True,0.8,11.473713245669856,15.260038616740909,5.0,25856.27475099272
HD 141399,HD 141399 d,1.18,True,0.8,11.473713245669856,13.53898162989043,5.0,25856.27475099272
HD 141399,HD 141399 e,0.66,True,0.8,11.473713245669856,7.572650742142105,5.0,25856.27475099272
HD 96700,HD 96700 b,0.02800253,True,1.0,,,,2224.3677532459774
HD 96700,HD 96700 c,0.01101223,True,1.0,,,,2224.3677532459774
HD 96700,HD 96700 d,0.03995867,True,1.0,,,,2224.3677532459774
HD 142,HD 142 A d,0.26,True,1.0,,,,29692.82366828912
HD 142,HD 142 b,7.1,False,1.0,,,,29692.82366828912
HD 142,HD 142 c,10.901,False,1.0,,,,29692.82366828912
HD 108874,HD 108874 b,1.42,True,1.0,,,,108003.11782627713
HD 108874,HD 108874 c,0.99,True,1.0,,,,108003.11782627713
GJ 229,GJ 229 A c,0.027,True,0.8,,,,33383.35843922146
GJ 229,GJ 229 b,0.047,True,0.8,,,,33383.35843922146
61 Vir,61 Vir b,0.016,True,0.8,,,,1154.004641807128
61 Vir,61 Vir c,0.057,True,0.8,,,,1154.004641807128
61 Vir,61 Vir d,0.072,True,0.8,,,,1154.004641807128
GJ 849,GJ 849 b,0.893,True,1.0,,,,527121.4035294373
GJ 849,GJ 849 c,0.99,True,1.0,,,,527121.4035294373
HD 125612,HD 125612 c,0.049,True,1.0,,,,1137.484361483626
HD 125612,HD 125612 b,2.974,True,1.0,,,,1137.484361483626
HD 125612,HD 125612 d,7.178,False,1.0,,,,1137.484361483626
HD 60532,HD 60532 b,1.06,True,1.0,11.473713245669856,12.162136040410049,5.0,55277.22483609868
HD 60532,HD 60532 c,2.51,True,1.0,11.473713245669856,28.799020246631336,5.0,55277.22483609868
HD 48948,HD 48948 b,0.0153542,True,0.6,,,,2009.6190089930178
HD 48948,HD 48948 c,0.02287398,True,0.6,,,,2009.6190089930178
HD 48948,HD 48948 d,0.03331987,True,0.6,,,,2009.6190089930178
TOI-1062,TOI-1062 b,0.03193547,False,1.0,,,,1126.0675864235511
TOI-1062,TOI-1062 c,0.03077132,True,1.0,,,,1126.0675864235511
HD 27894,HD 27894 b,0.619,True,1.0,11.473713245669856,7.102228499069641,5.0,4933.442465654171
HD 27894,HD 27894 c,0.162,True,1.0,11.473713245669856,1.8587415457985168,5.0,4933.442465654171
HD 27894,HD 27894 d,6.493,False,1.0,11.473713245669856,,5.0,4933.442465654171
HD 50499,HD 50499 b,1.636,True,1.0,11.473713245669856,18.770994869915885,5.0,669979.6866877982
HD 50499,HD 50499 c,2.93,True,1.0,11.473713245669856,33.61797980981268,5.0,669979.6866877982
Kepler-20,Kepler-20 b,0.03051961,False,0.6,4.809734344744131,,12.000000000000002,1011.9387977074693
Kepler-20,Kepler-20 e,0.00239123,False,0.6,4.809734344744131,,12.000000000000002,1011.9387977074693
Kepler-20,Kepler-20 c,0.03492451,False,0.6,4.809734344744131,,12.000000000000002,1011.9387977074693
Kepler-20,Kepler-20 f,0.00440489,False,0.6,4.809734344744131,,12.000000000000002,1011.9387977074693
Kepler-20,Kepler-20 g,0.06280087,True,0.6,4.809734344744131,0.3020555013188113,12.000000000000002,1011.9387977074693
Kepler-20,Kepler-20 d,0.04216111,False,0.6,4.809734344744131,,12.000000000000002,1011.9387977074693
HD 33142,HD 33142 d,0.2,True,1.0,8.205509048125078,1.6411018096250158,7.0,24613.28818148453
HD 33142,HD 33142 b,1.26,True,1.0,8.205509048125078,10.338941400637598,7.0,24613.28818148453
HD 33142,HD 33142 c,0.89,True,1.0,8.205509048125078,7.3029030528313195,7.0,24613.28818148453
GJ 667 C,GJ 667 C b,0.01789,True,0.0,1.0,0.01789,90.0,1972.0744452054516
GJ 667 C,GJ 667 C c,0.012,True,0.0,1.0,0.012,90.0,1972.0744452054516
GJ 667 C,GJ 667 C f,0.008,True,0.0,1.0,0.008,90.0,1972.0744452054516
GJ 667 C,GJ 667 C e,0.008,True,0.0,1.0,0.008,90.0,1972.0744452054516
GJ 667 C,GJ 667 C g,0.014,True,0.0,1.0,0.014,90.0,1972.0744452054516
HD 184010,HD 184010 b,0.31,True,1.0,4.809734344744131,1.4910176468706806,12.000000000000002,78466.84046853267
HD 184010,HD 184010 c,0.3,True,1.0,4.809734344744131,1.4429203034232392,12.000000000000002,78466.84046853267
HD 184010,HD 184010 d,0.45,True,1.0,4.809734344744131,2.164380455134859,12.000000000000002,78466.84046853267
HD 1605,HD 1605 b,0.934,True,1.0,,,,158028.81690522522
HD 1605,HD 1605 c,3.62,True,1.0,,,,158028.81690522522
HD 164922,HD 164922 d,0.01258534,True,1.0,,,,3410.8161424742775
HD 164922,HD 164922 e,0.0331,True,1.0,,,,3410.8161424742775
HD 164922,HD 164922 c,0.04090237,True,1.0,,,,3410.8161424742775
HD 164922,HD 164922 b,0.36497499,True,1.0,,,,3410.8161424742775
HD 159868,HD 159868 c,0.768,True,1.0,,,,96098.59859392206
HD 159868,HD 159868 b,2.218,True,1.0,,,,96098.59859392206
TOI-375,TOI-375 b,0.745,False,1.0,,,,2588.5542603431886
TOI-375,TOI-375 c,2.106,True,1.0,,,,2588.5542603431886
TOI-375,TOI-375 d,1.402,True,1.0,,,,2588.5542603431886
75 Cet,75 Cet b,2.479,True,1.0,,,,190724.24532352347
75 Cet,75 Cet c,0.912,True,1.0,,,,190724.24532352347
HD 177830,HD 177830 c,0.15,True,1.0,,,,30362.7747961566
HD 177830,HD 177830 b,1.69,True,1.0,,,,30362.7747961566
HD 107148,HD 107148 c,0.0626,True,0.2,,,,5017.578874060269
HD 107148,HD 107148 b,0.21,True,0.2,,,,5017.578874060269
rho CrB,rho CrB e,0.01167297,True,1.0,,,,3532.9243324282875
rho CrB,rho CrB b,1.09491472,True,1.0,,,,3532.9243324282875
rho CrB,rho CrB c,0.08634219,True,1.0,,,,3532.9243324282875
YZ Cet,YZ Cet b,0.00220245,True,1.0,4.809734344744131,0.01059319940758171,12.000000000000002,553.284314495269
YZ Cet,YZ Cet c,0.00358684,True,1.0,4.809734344744131,0.017251747537102038,12.000000000000002,553.284314495269
YZ Cet,YZ Cet d,0.00342952,True,1.0,4.809734344744131,0.01649508012998689,12.000000000000002,553.284314495269
HD 191939,HD 191939 b,0.03146352,False,1.0,,,,2431.3018120170277
HD 191939,HD 191939 c,0.02517081,False,1.0,,,,2431.3018120170277
HD 191939,HD 191939 d,0.00880979,False,1.0,,,,2431.3018120170277
HD 191939,HD 191939 e,0.35302068,True,1.0,,,,2431.3018120170277
HD 191939,HD 191939 g,0.04247575,True,1.0,,,,2431.3018120170277
HD 191939,HD 191939 f,2.88,True,1.0,,,,2431.3018120170277
HD 189567,HD 189567 b,0.02674399,True,1.0,,,,3911.8426241445104
HD 189567,HD 189567 c,0.02202446,True,1.0,,,,3911.8426241445104
HD 28471,HD 28471 b,0.01170443,True,1.0,8.205509048125078,0.09604080626814661,7.0,866.5027702305638
HD 28471,HD 28471 c,0.01799713,True,1.0,8.205509048125078,0.1476756130552833,7.0,866.5027702305638
HD 28471,HD 28471 d,0.01544859,True,1.0,8.205509048125078,0.1267635450257746,7.0,866.5027702305638
GJ 887,GJ 887 e,0.00459367,True,1.0,,,,1211.4721655288276
GJ 887,GJ 887 b,0.01227077,True,1.0,,,,1211.4721655288276
GJ 887,GJ 887 c,0.02045129,True,1.0,,,,1211.4721655288276
GJ 887,GJ 887 d,0.01919275,True,1.0,,,,1211.4721655288276
HD 219134,HD 219134 b,0.01491363,False,1.0,,,,846.7973933082117
HD 219134,HD 219134 c,0.01371803,False,1.0,,,,846.7973933082117
HD 219134,HD 219134 f,0.02296825,False,1.0,,,,846.7973933082117
HD 219134,HD 219134 d,0.05087625,False,1.0,,,,846.7973933082117
HD 219134,HD 219134 g,0.034,True,1.0,,,,846.7973933082117
HD 219134,HD 219134 h,0.34,True,1.0,,,,846.7973933082117
Kepler-68,Kepler-68 b,0.02526521,False,1.0,,,,1478.09852584131
Kepler-68,Kepler-68 c,0.00409026,False,1.0,,,,1478.09852584131
Kepler-68,Kepler-68 d,0.84007174,False,1.0,,,,1478.09852584131
Kepler-68,Kepler-68 e,0.272,True,1.0,,,,1478.09852584131
Kepler-56,Kepler-56 b,0.07,False,1.0,,,,2875.1827390993412
Kepler-56,Kepler-56 c,0.57,False,1.0,,,,2875.1827390993412
Kepler-56,Kepler-56 d,5.61,True,1.0,,,,2875.1827390993412
HD 20003,HD 20003 b,0.0367,True,0.8,,,,3243.861189232854
HD 20003,HD 20003 c,0.0454,True,0.8,,,,3243.861189232854
K2-18,K2-18 c,0.02362898,True,1.0,,,,2453.662346068309
K2-18,K2-18 b,0.02806532,False,1.0,,,,2453.662346068309
TOI-6695,TOI-6695 b,0.21,False,1.0,,,,22009.318727259062
TOI-6695,TOI-6695 c,1.45,True,1.0,,,,22009.318727259062
HD 20781,HD 20781 b,0.0061,True,1.0,,,,1454.7576949483494
HD 20781,HD 20781 c,0.0168,True,1.0,,,,1454.7576949483494
HD 20781,HD 20781 d,0.0334,True,1.0,,,,1454.7576949483494
HD 20781,HD 20781 e,0.0442,True,1.0,,,,1454.7576949483494
HD 21693,HD 21693 b,0.0259,True,1.0,,,,6209.065112049293
HD 21693,HD 21693 c,0.0547,True,1.0,,,,6209.065112049293
HD 104067,HD 104067 c,0.04153184,True,1.0,,,,3805.395050338329
HD 104067,HD 104067 b,0.19538845,True,1.0,,,,3805.395050338329
Wolf 1061,Wolf 1061 b,0.0060095,True,1.0,,,,1337.9609264849691
Wolf 1061,Wolf 1061 c,0.01072901,True,1.0,,,,1337.9609264849691
Wolf 1061,Wolf 1061 d,0.02422679,True,1.0,,,,1337.9609264849691
TOI-5789,TOI-5789 b,0.00667027,True,1.0,,,,756.6574548690888
TOI-5789,TOI-5789 c,0.01573176,False,1.0,,,,756.6574548690888
TOI-5789,TOI-5789 d,0.01349785,True,1.0,,,,756.6574548690888
TOI-5789,TOI-5789 e,0.03652915,True,1.0,,,,756.6574548690888
L 98-59,L 98-59 b,0.00144732,False,1.0,,,,616.8692746306315
L 98-59,L 98-59 c,0.0062927,False,1.0,,,,616.8692746306315
L 98-59,L 98-59 d,0.00516002,False,1.0,,,,616.8692746306315
L 98-59,L 98-59 e,0.00887271,True,1.0,,,,616.8692746306315
L 98-59,L 98-59 f,0.00880979,True,1.0,,,,616.8692746306315
Kepler-48,Kepler-48 b,0.01239656,False,1.0,,,,1308.1451061183488
Kepler-48,Kepler-48 c,0.04596797,False,1.0,,,,1308.1451061183488
Kepler-48,Kepler-48 d,0.025,False,1.0,,,,1308.1451061183488
Kepler-48,Kepler-48 e,2.067,False,1.0,,,,1308.1451061183488
Kepler-48,Kepler-48 f,0.93944088,True,1.0,,,,1308.1451061183488
HD 158259,HD 158259 b,0.00698487,False,1.0,,,,596.3041964563887
HD 158259,HD 158259 c,0.01761948,True,1.0,,,,596.3041964563887
HD 158259,HD 158259 d,0.01702168,True,1.0,,,,596.3041964563887
HD 158259,HD 158259 e,0.01912972,True,1.0,,,,596.3041964563887
HD 158259,HD 158259 f,0.0193185,True,1.0,,,,596.3041964563887
DMPP-6,DMPP-6 b,0.01824884,True,1.0,,,,2081.506536378688
DMPP-6,DMPP-6 c,0.04238136,True,1.0,,,,2081.506536378688
Kepler-129,Kepler-129 b,0.06292704,False,1.0,,,,4323.068389049864
Kepler-129,Kepler-129 c,0.13529313,False,1.0,,,,4323.068389049864
Kepler-129,Kepler-129 d,8.3,True,1.0,,,,4323.068389049864
HD 39194,HD 39194 b,0.01453615,True,1.0,,,,1543.3052416560265
HD 39194,HD 39194 c,0.02356618,True,1.0,,,,1543.3052416560265
HD 39194,HD 39194 d,0.01623518,True,1.0,,,,1543.3052416560265
